metric,scale,approach,n,skew,kurt_excess,shapiro_p,interpretation
DSST_RT,raw,age-detrended residuals,1957,7.994596781378326,87.93928143711452,1.6106973728353845e-61,strongly skewed
DSST_RT,log,age-detrended residuals,1957,1.356102420640529,11.191718562626045,1.3989512286081426e-39,strongly skewed
DSST_pHit,raw,age-detrended residuals,1958,-6.483221581879327,56.86781096677089,8.322730278222903e-60,strongly skewed
DSST_nCorrectResponse,raw,age-detrended residuals,1967,-0.21969905457281183,1.3826691617473443,8.381354594666362e-13,approx. normal
ROCF_CopyScore,raw,age-detrended residuals,2098,-4.899978260670144,33.52437471177353,2.0353044337147035e-57,strongly skewed
ROCF_RecallScore,raw,age-detrended residuals,2085,-1.8683310896003062,5.550651682917286,7.1906683408758985e-40,strongly skewed
ROCF_Remember,raw,age-detrended residuals,2079,12.47010992380817,372.87206428517857,5.465496497251833e-59,strongly skewed
OIS_STM_Acc,raw,age-detrended residuals,1860,-6.116156554536358,61.69665822181409,1.1073368263167243e-55,strongly skewed
OIS_LTM_Acc,raw,age-detrended residuals,1848,-0.4592069749775707,-0.42180926597640145,3.792380991977696e-17,approx. normal
OIS_STM_SemanticAcc,raw,age-detrended residuals,1860,-14.222420846134995,230.71145419938617,1.573970312868856e-68,strongly skewed
OIS_LTM_SemanticAcc,raw,age-detrended residuals,1848,-0.7902608940378575,0.05547184542972694,9.621715183179258e-26,moderately skewed
OIS_STM_LocErr,raw,age-detrended residuals,1798,0.47991382930403687,1.044628753675389,8.44548680271306e-13,approx. normal
OIS_STM_LocErr,log,age-detrended residuals,1798,-0.6211284994946675,1.3135904944583316,2.0333805396832314e-16,moderately skewed
OIS_LTM_LocErr,raw,age-detrended residuals,1797,0.30304805460626494,0.05054083048549396,3.038659528397267e-07,approx. normal
OIS_LTM_LocErr,log,age-detrended residuals,1797,-0.6491427574197434,1.2388431431303966,6.979077026768338e-16,moderately skewed
OMT_Acc,raw,age-detrended residuals,1374,-1.7701265248271227,4.802957909968533,2.1634636277345504e-32,strongly skewed
OMT_TargetDetection,raw,age-detrended residuals,1382,-0.6311600002109935,0.5155529260792306,3.6806791073385755e-14,moderately skewed
OMT_Misbinding,raw,age-detrended residuals,1374,-0.22477906398157618,-0.5264317394699791,1.589582242178846e-08,approx. normal
OMT_Guessing,raw,age-detrended residuals,1382,1.2629858888364673,2.3509987053900847,3.480893451450366e-26,strongly skewed
OMT_IdeRT,raw,age-detrended residuals,1382,9.67880478891513,167.40052444571145,8.096334822953981e-52,strongly skewed
OMT_IdeRT,log,age-detrended residuals,1382,1.3303868373047125,5.422536303119593,2.216005436057681e-24,strongly skewed
OMT_LocRT,raw,age-detrended residuals,1382,5.8665505358878125,73.05151593107212,2.41465586597185e-46,strongly skewed
OMT_LocRT,log,age-detrended residuals,1382,-2.2905066844266915,18.498580653090844,6.26366785618805e-39,strongly skewed
OMT_LocErr,raw,age-detrended residuals,797,3.0928579332801385,22.67430299621457,2.615206922645714e-29,strongly skewed
OMT_LocErr,log,age-detrended residuals,797,-0.1183431526025113,1.5341157798045693,1.0419577602763145e-06,approx. normal
OMT_Imprecision,raw,age-detrended residuals,805,3.9381997204027703,30.50725955588308,5.607873021141818e-34,strongly skewed
OMT_Imprecision,log,age-detrended residuals,805,0.3549935490830634,2.1859061449137727,1.946963355485269e-10,approx. normal
TMT_A,raw,age-detrended residuals,1392,14.552761949869797,339.5587002471339,9.522879862927095e-56,strongly skewed
TMT_A,log,age-detrended residuals,1392,1.886775413024479,9.378326441520835,5.747123563988181e-30,strongly skewed
TMT_B,raw,age-detrended residuals,1336,4.256638601695583,33.340877862851855,4.530746934550518e-44,strongly skewed
TMT_B,log,age-detrended residuals,1336,1.0940535789696708,2.669465205157545,1.8974329132561057e-21,strongly skewed
TMT_BdA,raw,age-detrended residuals,1164,2.3625486878040394,12.516791016826529,5.929112769169823e-32,strongly skewed
TMT_BdA,log,age-detrended residuals,1164,0.43032510199831303,2.1302154874075576,4.194397208399695e-14,approx. normal
TMT_average,raw,age-detrended residuals,863,7.852353749613434,107.36115450620967,3.645021637905054e-42,strongly skewed
TMT_average,log,age-detrended residuals,863,1.5150642128883882,5.9460045381937,4.954974555528532e-21,strongly skewed
